"Topic","Theory/Skill","Minutes"
"Course information and system setup","S",60
"Python REPL, Python interpreter, Python files","T",15
"Immutable Types and Their Operations, User InputT",,60
"Exercises on Immutable Types","S",45
"Review of Exercises on Immutable Types","S",30
"Boolean logic and if conditionals","T",45
"Sequence Types and Loops","T",45
"Exercises on Sequences and Conditionals","S",60
"Test and review of topics thus far","S",90
"Functions, return values, scope, the call stack","T",60
"Exercises on Functions","S",30
"Review of Exercises on Functions","S",30
"More on functions","T",15
"Lists, list operations, mutable types, reference values","T",45
"Program structure, DRY code, modules","T",30
"Exercises on Lists and Functions","S",60
"Test and review of topics thus far","S",90
"File input and output, line oriented files, newline encoding, the os module","T",60
"Exercises on File I/O","S",30
"Specializations and careers in computer programming","T",15
"Review of Exercises on File I/O","T",30
"Dictionaries and .json files","T",75
"Exercises on dictionaries and .json","S",60
"Specializations and careers in computer programming","T",15
"Review of all topics covered, introduction to courses of further study75","T",75
"Exercises on all topics","S",90
"Final Assessment","S",180
